ds,yhat
2024-05-25,786.1713123604947
2024-05-26,1014.5152628889797
2024-05-27,1223.5856197274975
2024-05-28,1149.7250527405945
2024-05-29,853.5398577799958
2024-05-30,706.2536551033788
2024-05-31,744.568844814532
2024-06-01,806.5151352293609
2024-06-02,1034.8334948970055
2024-06-03,1243.818210565882
2024-06-04,1169.8069695587599
2024-06-05,873.4007257792798
2024-06-06,725.8177437296962
2024-06-07,763.7554284196367
2024-06-08,825.2392397317722
2024-06-09,1053.0070239746526
2024-06-10,1261.3514269835755
2024-06-11,1186.6102900896026
2024-06-12,889.3867725344167
2024-06-13,740.9035811937465
2024-06-14,777.8356526351599
2024-06-15,838.2468387251868
2024-06-16,1064.8864037485996
2024-06-17,1272.0605176225663
2024-06-18,1196.1223895715411
2024-06-19,897.6920449819601
2024-06-20,748.0101368997607
2024-06-21,783.7994029549541
2024-06-22,843.1130750202265
2024-06-23,1068.7185886718341
2024-06-24,1274.9392762603002
2024-06-25,1198.143968798826
2024-06-26,898.9662777820041
2024-06-27,748.6579678863859
2024-06-28,783.9500492213873
2024-06-29,842.9009119088616
2024-06-30,1068.2798625148782
2024-07-01,1274.408755010525
2024-07-02,1197.6516463770129
2024-07-03,898.6342485556991
2024-07-04,748.5975839065721
2024-07-05,784.2594646583875
2024-07-06,843.6631067636043
2024-07-07,1069.5612214628732
2024-07-08,1276.2287751464671
2024-07-09,1200.0417381106636
2024-07-10,901.6087442202474
2024-07-11,752.1548688206433
2024-07-12,788.3837070991311
2024-07-13,848.326521109223
2024-07-14,1074.726775648872
2024-07-15,1281.882715632958
2024-07-16,1206.1378757571688
2024-07-17,908.1012570510591
2024-07-18,759.0015441327947
2024-07-19,795.5489552980187
2024-07-20,855.7840139098691
2024-07-21,1082.461569762155
2024-07-22,1289.8927371418192
2024-07-23,1214.43465982619
2024-07-24,916.7098618594025
2024-07-25,767.9595863758282
2024-07-26,804.9047463888949
2024-07-27,865.5938101654208
2024-07-28,1092.7859852598508
2024-07-29,1300.7924034315017
2024-07-30,1225.9652510021415
2024-07-31,928.8887974768531
2024-08-01,780.8159427769132
2024-08-02,818.4455510724822
2024-08-03,879.7982911415294
2024-08-04,1107.6001687820526
2024-08-05,1316.1242952874547
2024-08-06,1241.680832620917
2024-08-07,944.8368941000306
2024-08-08,796.7708112055775
2024-08-09,834.134386328759
2024-08-10,894.9024369509078
2024-08-11,1121.757965233592
2024-08-12,1328.9356123947086
2024-08-13,1252.7132876461055
2024-08-14,953.633696969522
2024-08-15,802.8601275797337
2024-08-16,837.0400536565846
2024-08-17,894.155816784411
2024-08-18,1116.910666918798
2024-08-19,1319.5727806639734
2024-08-20,1238.4671111294017
2024-08-21,934.1967676312687
2024-08-22,777.9982637432825
2024-08-23,806.5839027506464
